Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
GET4	-2.59404158197238	0.00030497140568107	DOWN	-2.1799467930843	0.0135710417068137	DOWN	-1.7313808125157	0.232548840980744	NOT
GIPC1	-2.72467433524585	4.41976992484929e-05	DOWN	-2.53875406175064	0.000439918130877893	DOWN	-1.5605262697822	0.48359292017282	NOT
GJB2	-9.52140513118181	6.04476683027518e-12	DOWN	-7.4497669095812	1.77207055826522e-11	DOWN	-6.1177223297051	1.85892713989909e-08	DOWN
GJB5	-8.27163549752428	4.29695695898295e-09	DOWN	-3.71840232591442	0.021893035329941	DOWN	-2.30539885704843	0.541366338559441	NOT
GOLGA7B	-6.60853212367191	2.48205684911789e-07	DOWN	-4.23385292776958	4.63786858361339e-05	DOWN	-2.61002281173151	0.0671984228977264	NOT
GPN2	-2.38319761716322	0.000460144310459089	DOWN	-2.19907259760272	0.00308099873792823	DOWN	-1.72149749010476	0.143050287778885	NOT
GPR143	-8.2233807508769	2.93364804328764e-13	DOWN	-7.03665443637123	1.43699767861003e-13	DOWN	-6.31050711525375	8.70024900497981e-12	DOWN
GPRIN2	-5.91909806538548	0.00115314110587885	DOWN	-5.25399188737993	0.00233841427208717	DOWN	-4.5637445341694	0.00754101821402809	DOWN
GPS1	-2.16137708474071	1.21987815611995e-05	DOWN	-2.15762009158429	1.46945979827526e-05	DOWN	-1.9914350618213	0.000319900407613058	DOWN
GRAMD2	-4.82657161840096	5.162623252239e-05	DOWN	-4.43438262590178	0.000135191366054114	DOWN	-3.1399214819642	0.0218013407124062	DOWN
GREB1	-9.33700201495428	1.03200550920965e-11	DOWN	-7.91073348932754	9.7247215071992e-15	DOWN	-7.34233246016511	7.26134557950154e-15	DOWN
GRHL3	-6.60229955326271	8.49348443273544e-13	DOWN	-5.08712033504173	4.96331303002782e-10	DOWN	-4.23851244312528	4.78559086305142e-07	DOWN
GRWD1	-3.22481568470201	1.74574804880548e-05	DOWN	-2.45869040700265	0.0104439829293179	DOWN	-2.30184387416745	0.0294965177361881	DOWN
GSTP1	-3.81429487590456	1.40306587328335e-10	DOWN	-3.22872472632391	9.27640048813388e-07	DOWN	-2.18708645689577	0.025414134815036	DOWN
H2AFX	-2.42721037272852	0.0206750340053878	DOWN	-2.39523374204424	0.0306029141675182	DOWN	-1.95229589183109	0.238118431498012	NOT
HIP1R	-3.17899523275724	1.93899542329021e-11	DOWN	-1.99929402630628	0.00396394335711722	DOWN	-1.52541303407868	0.269696485582245	NOT
HIST1H4C	-3.20391910022956	0.00375836135962944	DOWN	-2.73491183437819	0.0392870185494817	DOWN	-2.55715345850859	0.0820273299048143	NOT
HIST4H4	-3.64612580089461	0.000257359870951414	DOWN	-3.07689328668356	0.0077244038330474	DOWN	-2.87941040773332	0.020889228915595	DOWN
HMOX2	-2.44511109274462	3.3714137650851e-08	DOWN	-1.74505238486967	0.00910645154918532	DOWN	-1.32379344567072	0.538859008493082	NOT
HPDL	-3.52037883881262	0.00306248266786405	DOWN	-3.22497923253732	0.00671998973725137	DOWN	-2.79343600920399	0.0347306590557009	DOWN
HPGD	-5.60163422407418	0.00021340785878962	DOWN	-4.59419166654033	0.00152498486166284	DOWN	-1.60475467507085	1	NOT
HSPB1	-4.98740507166764	1.45354360354795e-11	DOWN	-4.1626329177552	2.1089463584408e-07	DOWN	-2.79516506368924	0.00934903184668147	DOWN
HSPBP1	-3.44356050038902	1.98982098556449e-10	DOWN	-3.31177269770853	9.00843557224026e-10	DOWN	-2.42244726812145	0.00027157196739692	DOWN
IER2	-2.86116225685723	0.000140967650758866	DOWN	-2.12364061951682	0.0470424513744531	DOWN	-1.37312783404804	1	NOT
IFRD2	-2.35873300637736	0.00345753093670361	DOWN	-2.21872598508359	0.012087245541541	DOWN	-2.02382227871237	0.0494580292023255	DOWN
IL1RN	-4.4690429182968	1.30040311339461e-05	DOWN	-3.21144191199212	0.012497103922918	DOWN	-2.92229001002104	0.0412885554566495	DOWN
IRX4	-7.92280159258778	6.10951499440468e-09	DOWN	-4.75727834847674	4.3220397003825e-07	DOWN	-3.29515968959039	0.00199371502460813	DOWN
ITPK1	-3.24021456722915	1.14078987059236e-09	DOWN	-2.49345913317499	0.000108150259806066	DOWN	-1.67603921026494	0.195072095660001	NOT
IVL	-8.19253126053825	8.30711385251876e-08	DOWN	-5.33386779432275	0.000536285220170747	DOWN	-3.66272380582068	0.0653583441330058	NOT
KLC3	-4.12376774952872	3.2216266812891e-07	DOWN	-2.33515564687192	0.0489294617460392	DOWN	-1.6711047984581	0.606914298279241	NOT
KLHL21	-3.86653303687685	6.07530450905606e-06	DOWN	-3.58592178710696	7.6661586451811e-05	DOWN	-2.74124968411098	0.0168155535599664	DOWN
KLK10	-9.21673551753907	1.31749395320904e-11	DOWN	-4.13629533165082	0.0104439829293179	DOWN	-1.95369399235116	0.937937076808731	NOT
KLK11	-7.66682193686056	8.53206967937421e-08	DOWN	-5.76489180776483	3.4975303511938e-07	DOWN	-2.60549904618614	0.119023855259811	NOT
KLK13	-7.87416056243858	5.7677328726226e-08	DOWN	-6.56299114076006	4.95484252889864e-08	DOWN	-3.33051714299585	0.0123433879061988	DOWN
KLK5	-10.9413631165381	1.15500076681661e-17	DOWN	-5.56071366872241	2.11660301339108e-05	DOWN	-3.86036464786503	0.0180902651145452	DOWN
KLK6	-7.15647169451899	2.73894361818247e-06	DOWN	-4.21811230065771	0.00408682232298369	DOWN	-2.43829847958395	0.399208840181063	NOT
KLK7	-8.81682130180268	2.77435882805645e-11	DOWN	-4.59534593320032	5.54508024912017e-05	DOWN	-3.17261158058143	0.0308758523840614	DOWN
KLK9	-7.03746155349706	7.05297881133557e-06	DOWN	-5.41702537739631	6.10841241229723e-05	DOWN	-3.4490929749807	0.0256887934669322	DOWN
KRT10	-3.69300205313177	0.000133976362660325	DOWN	-3.42166979194384	0.000832048701253406	DOWN	-2.83186250604652	0.0198871889816513	DOWN
KRT14	-8.74593893024896	1.35726380735398e-06	DOWN	-7.57762124882588	8.27128004463801e-05	DOWN	-7.13454598165652	0.000327103790593383	DOWN
KRT16	-13.7855146170748	4.6739138657901e-32	DOWN	-9.43366250705724	1.02589504796843e-23	DOWN	-8.64983209903114	9.60950471121063e-20	DOWN
KRT16P1	-6.97092586223152	9.96994966551107e-06	DOWN	-5.2300772107629	4.41896069364352e-05	DOWN	-4.8590638730636	0.000134792205533469	DOWN
KRT17	-11.5425232927462	4.07828075950232e-39	DOWN	-10.3372435669497	3.78684905820825e-32	DOWN	-9.98281677233639	9.33751645774441e-30	DOWN
