Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
C3orf58	1.65228753641438	3.9098476788942e-07	UP	1.62303414854389	6.40678369348145e-07	UP	1.56243045563848	2.07553511130713e-06	UP	-1.47257337486257
LOC727896	5.67990868692188	6.21642694865901e-11	UP	4.7402224910763	1.17441742990355e-07	UP	3.57925342233676	0.000226566199292022	UP	-1.47859815775164
IL13RA1	2.84767346077692	1.80874658918002e-16	UP	2.34324550542996	2.24174046778439e-11	UP	2.16342905219495	9.07215481135435e-10	UP	-1.47918464361297
ACAD11	3.22365949821634	1.24603877803074e-07	UP	2.70406891858667	1.56520510411706e-05	UP	2.35264301728675	0.000298732534995206	UP	-1.48162653635715
MANEA	2.56882130453431	2.13815284885003e-13	UP	2.53349748869671	2.9115873322376e-13	UP	2.02654269617299	1.79082898277876e-08	UP	-1.48426408781166
C1RL-AS1	2.2731551375908	3.05369279711925e-06	UP	2.21533430022803	6.09878765961038e-06	UP	1.87986740403636	0.000175224384739042	UP	-1.48657967048193
DCN	9.27289903983431	7.72161095137037e-16	UP	7.73436140676033	3.04413251131804e-11	UP	5.38111248786766	6.69630419272161e-06	UP	-1.48932593590101
GLIS3	5.93626735253072	1.74797683640031e-16	UP	5.68228206693704	4.46070387478703e-15	UP	3.71655440616385	6.92114292855934e-07	UP	-1.49684145979698
HOXA13	8.80299273119546	1.71451231130516e-13	UP	8.27135865820239	6.15743777803536e-12	UP	5.1532653684902	5.04350826197538e-05	UP	-1.50353800578494
LOC148696	3.83818934310087	1.70463106763443e-07	UP	3.60519033527998	1.15433508070151e-06	UP	2.67468435983931	0.000530638050974389	UP	-1.51117937657774
EIF3A	1.82193427013167	8.08777951422805e-08	UP	1.80306082303785	1.3513053121994e-07	UP	1.67205793439106	1.27830931797035e-06	UP	-1.52218159865045
ROCK1	2.77812631965755	4.34093293928798e-15	UP	2.70676437605976	2.53790124101074e-14	UP	2.15803103559736	2.37178435974824e-09	UP	-1.53793575153716
PKIA	2.37628633050203	2.764094417934e-06	UP	2.33529106178832	3.76793901278125e-06	UP	1.95878341004469	0.000178236622940156	UP	-1.54128048958735
LINC01410	3.2731757328881	0.000541579449844992	UP	2.86918611546281	0.00309618099172222	UP	2.40869992522045	0.0171100858751124	UP	-1.5442241175528
TGFB1	1.81107020403586	1.52581942439263e-07	UP	1.78996282742582	2.47315792486677e-07	UP	1.67895593749972	1.63393418756905e-06	UP	-1.54684167096358
C5	2.20651488434248	1.27935833422053e-06	UP	2.02354944183316	9.73069638274653e-06	UP	1.87864702616161	5.67765310961956e-05	UP	-1.55077916798074
DNAJC10	2.62511384159571	1.04478013264793e-13	UP	2.3715094893616	2.68736791038841e-11	UP	2.09240016942535	6.05794106162326e-09	UP	-1.55968649725499
DPYD-AS2	5.35348133713616	0.000162622897931404	UP	4.63892260536849	0.00154077519429345	UP	3.45987880970267	0.0295139558332027	UP	-1.56627628226918
ZHX1	2.61394149654351	1.88780973057262e-14	UP	2.40740796714958	2.28798711533334e-12	UP	2.10045024422723	1.55763898228733e-09	UP	-1.58695899191095
DNM3OS	8.39798744614004	2.5490977448931e-18	UP	7.60279040709737	4.44169770163789e-15	UP	4.99504730192741	7.77503820370984e-07	UP	-1.59210715771477
ZNF248	2.53079045501943	4.62148142319925e-09	UP	2.14021031317825	1.08201406671275e-06	UP	2.06309438506245	3.24121226787067e-06	UP	-1.59539831510546
UACA	4.62225950430146	9.07451610176267e-16	UP	4.33105718382095	7.16741033827351e-14	UP	3.10951870922374	1.52511197303868e-07	UP	-1.59677791414602
RNPC3	1.73707735549927	1.39945699475588e-05	UP	1.73352827098091	1.29911319702244e-05	UP	1.66750892603873	3.43643568745759e-05	UP	-1.59794049657818
AGPAT4-IT1	2.69219047792532	0.0069794287419552	UP	2.19639401595722	0.0344043953873552	UP	2.14549090183278	0.0420751813168641	UP	-1.59879132574024
TMF1	3.17880402835254	6.25945109065856e-13	UP	3.01133111354009	1.19978135274741e-11	UP	2.39573993770121	1.21459437462238e-07	UP	-1.61267584704989
KLHL5	3.3247112942491	5.45914597729731e-21	UP	2.95871944922259	1.0129124279082e-16	UP	2.47025925930288	7.52049068363320e-12	UP	-1.61580722435666
LINC00260	3.74110735274639	1.39091333599302e-05	UP	2.94728980875079	0.000955143723788362	UP	2.68168368109883	0.0033129337175522	UP	-1.62226000945126
NCEH1	2.23199500488454	1.24862306387235e-08	UP	1.95061176597788	9.27525360049322e-07	UP	1.9284608235493	1.40833274844795e-06	UP	-1.62492664221406
SLU7	2.53943254822543	7.10958349713656e-16	UP	2.29999024116979	3.85226239735598e-13	UP	2.08224441143884	7.80035927802333e-11	UP	-1.62505627465225
SPDL1	4.54814389521538	3.48753003551186e-20	UP	3.86733012647438	1.12386385895681e-14	UP	3.08739518990454	1.88859578653206e-09	UP	-1.62664648459369
ETV1	5.64298827409719	4.75959546202462e-25	UP	4.77267905411866	6.27533856314852e-18	UP	3.63779507180994	2.03948950221943e-10	UP	-1.63260186952269
GDF6	6.4654068599809	3.42588236054226e-07	UP	6.32144510864744	7.23060707617937e-07	UP	4.05056121341391	0.00433451805396784	UP	-1.63571556684693
LOC100506178	4.93583685229583	8.64146708737409e-05	UP	4.04072009912206	0.00204057133712036	UP	3.2886674809577	0.0178797321677909	UP	-1.64149810961957
ERI3-IT1	2.68446752526475	2.89236072452204e-05	UP	2.539211811863	8.42780122876908e-05	UP	2.16456739885519	0.00120409068391629	UP	-1.64466727244562
CXorf23	3.02743412396306	2.08609030945018e-11	UP	2.76162002396834	1.33384194080812e-09	UP	2.33815155734003	5.21146996511386e-07	UP	-1.648868990717
FAM111B	3.08446292428468	4.19334322729445e-05	UP	2.75309700009484	0.00033170292509018	UP	2.37221275029732	0.00254151402024092	UP	-1.65996257630996
ARFGAP3	2.03557675152049	3.10608286290796e-06	UP	1.94357571921111	1.0289790341655e-05	UP	1.84951865766778	3.22369089065538e-05	UP	-1.66346056381508
LOC101927770	3.13110447993501	5.77205570378336e-08	UP	2.82839824206846	1.29249480772687e-06	UP	2.39776217583619	6.13214883911989e-05	UP	-1.66441987173736
SHPRH	1.86818225231239	2.31136661303696e-07	UP	1.79291014512446	7.99727898824167e-07	UP	1.76689176506709	1.34527755061858e-06	UP	-1.66560127782179
LOC101928324	2.16542027404525	0.00102149452227874	UP	2.14583420084437	0.00101198482833879	UP	1.91899673092451	0.00451139230993248	UP	-1.67257318780378
ZNF235	2.56138834554951	5.3722813864511e-06	UP	2.1487009036046	0.000190454335482264	UP	2.12756999881536	0.000247849398351714	UP	-1.69375165208121
BLID	4.85290284990966	3.33993544539195e-06	UP	4.69031789166701	8.41299488997593e-06	UP	3.28111058276796	0.00330676009113539	UP	-1.70931831562626
DMXL2	1.8531945415986	3.92595535266872e-12	UP	1.84185961269795	5.31885693962052e-12	UP	1.78316466917543	3.02955558330383e-11	UP	-1.71313479675226
RDH10-AS1	2.77428451428152	0.000117401954683351	UP	2.29521366645674	0.00196228126639824	UP	2.24649288841632	0.00273663244617478	UP	-1.71870126255113
SFRP4	8.19833740636086	1.3952787853527e-11	UP	7.20124515245088	4.98372259217354e-09	UP	4.96440514312967	0.000140104494236123	UP	-1.73047287989848
SNORD114-16	4.73210378331437	0.00218317313200809	UP	3.56929959855185	0.0287396489288745	UP	3.23366656911321	0.0546229650688917	NOT	-1.73522935491206
PTPRK	2.33835340333171	7.5973473490152e-27	UP	2.32107067140412	1.61773932534753e-26	UP	2.03815024863644	1.79209132243632e-20	UP	-1.73794709394116
PTGFR	10.5427899709531	2.06211258015667e-20	UP	9.19187434326975	1.22799614148355e-15	UP	6.14102624123843	2.43409210103309e-07	UP	-1.73926251152376
ARFGEF1	2.39321633493418	1.15172329712673e-28	UP	2.25744670478062	1.46735248717903e-25	UP	2.0674772028676	1.98297947596822e-21	UP	-1.74173807080103
LIMCH1	3.92907093378484	3.189177505338e-22	UP	2.93494319266703	1.3272772738137e-12	UP	2.83577516666969	9.80273340301072e-12	UP	-1.74247939955453
