0d	90d	120d	control	std
MRGPRF	7.85175140454474	6.23109076837412	3.30052792741947	2.24043203123454	2.58947292217059
ISLR	7.73048496219714	6.62252753416438	4.47059985146248	1.89014557120243	2.57631780012653
FBLN5	10.5383701425849	9.08449198462912	6.27126126257309	4.90488630022848	2.57080518198197
SFRP2	8.22604302157922	6.52661501621737	5.11743942689463	2.16324933992522	2.56678972676528
TMEM176B	6.21057977290509	2.63843911667704	1.88407176024342	0.102911453218741	2.56503696261117
MKX	8.9274022858747	7.64814347810035	4.39635091517725	3.57668477735469	2.55962059165681
CEMIP	13.8772450711616	12.0797972240354	10.2532669705524	7.91298665280475	2.55133706101362
OSR1	6.27123339227847	3.55105681340661	1.36165573141322	0.595649021503491	2.54673401915731
CDH11	11.0681453739035	9.93398554964054	7.33105223156849	5.42999506272984	2.54486628850698
GRIA1	7.59038714732934	5.82825794228347	3.4026370096373	1.85086731784143	2.54453172982062
ZFHX4	8.85416134554758	7.61065107978854	4.13417366752884	3.73457290818968	2.53811519942763
RXFP1	5.40224396690011	2.49607022234245	0.643528945362195	-0.361016389165666	2.53163894278098
TWIST2	10.0592098872556	8.7580852924788	7.01097544294524	4.21019937877434	2.52942002639239
CACNA1C	9.1292297355311	7.65196561806682	5.09254160377368	3.49228999756632	2.52762417616427
TBX5	7.91774939455818	7.34208904603487	5.18083009785108	2.34508030055444	2.52585573719078
PRRX1	11.0168411712431	10.5113938949051	7.77261717530108	5.61022667631986	2.52008956977363
ANPEP	11.8851496830968	10.8472237081125	8.23306910551766	6.33859084684731	2.51545092437352
COMP	6.54662722606205	4.73155105655945	2.55211708092442	0.829790081445529	2.49788112195415
NNMT	9.33448814211328	7.85720373928035	4.98425574486334	3.95654927802831	2.49255948657627
SCN1A	5.62028729149666	2.68896088839204	0.808592577419061	0.0185083156399809	2.49025338848464
PODN	9.07958568928867	7.25888750885189	4.56329326517496	3.68757196661109	2.47610349022157
SIM1	7.47206406584788	7.12614005030634	4.7728517505233	2.1369552377505	2.470605156926
BICC1	10.0798158494425	9.00100784728125	6.07087339668883	4.79401589001615	2.46796072742721
C1R	11.9696947038616	10.6469685589271	9.38513736987257	6.20824660823888	2.46662608033508
KRTAP1-5	6.23960132634898	5.30021156140559	2.622847375848	0.864716777868039	2.4628178700913
CCL7	6.22665485074446	4.70386590170462	2.26472680205008	0.715459614847949	2.46045466747442
TWIST1	7.5469412399413	6.14976434965454	4.19820772768344	1.88638203597166	2.45861732705528
COL5A1	12.1074187665078	11.3535344469078	9.15491914585737	6.6464329981033	2.45613478838909
CREB3L1	9.34354244839689	8.25114862847244	5.73956562798257	3.91487300088833	2.45107567917142
LRRC32	8.4276817884103	7.60090803063892	5.08167643771869	3.04677897300446	2.45052458238532
RECK	10.9671144871185	8.82122741203484	6.32750980950137	5.64376721570759	2.43671865751555
CYP7B1	9.06725550125244	7.02544059822817	4.27151018751087	3.93034241683979	2.42961276332512
CCDC102B	6.40333577789673	4.37657874149477	1.93119635303134	1.04162021340567	2.42811583387577
TBX5-AS1	6.95819148254692	6.10666487396696	3.3467868300363	1.71994576094319	2.42750562352973
SYNPO2	10.2881215324428	7.98550205477194	5.28615987118927	5.23777594487345	2.42669967028084
ADAMTS12	8.19346518463165	7.62651648116508	5.25118788506171	2.90724032580117	2.42092343484638
STC1	10.5887594612074	10.0488548696113	9.19164091424178	5.25766568802491	2.41230299092462
ARMC4	5.72270966529114	4.84349184376932	2.11123876144477	0.509613531378157	2.41186354089014
PRR16	7.00010610537717	5.70011082764236	3.21670689967643	1.64515024300193	2.41107583693426
GREM2	6.41404773336494	5.86446455802545	3.35611255649218	1.20056724190743	2.40699556137067
SSTR1	6.52325782516914	5.5577483156974	2.73361789932813	1.35890824036987	2.40589351467905
ITGA11	8.70938349590144	7.33058574249523	5.06902525796001	3.27691028162686	2.40526632663987
LRP1B	6.37057971667699	5.15870615516253	2.9128956507304	0.951887229736963	2.40438816225255
DNM3OS	7.42697170215468	6.71705036254827	4.28000443355215	2.16563087570426	2.40163635773516
GLT8D2	8.10002663560184	6.77220467943618	4.26291513644243	2.78660921779687	2.39930414946945
CHRM2	5.69146619997584	3.95719397690813	1.64459419714509	0.317141695338709	2.39145119001367
GUCY1A2	7.95181488605491	7.11480961584411	4.30724490503514	2.84955907969618	2.38425586206187
TMEM119	9.73561552261827	7.92547153670093	5.44210496486709	4.49704426515087	2.37991326507563
