Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
IL18	-5.03930470736553	5.26138249965986e-09	DOWN	-2.63277366570433	0.00255750300172353	DOWN	-1.1602224348359	0.231808641523198	NOT	-2.71885983769373
SOX15	-6.86348288221177	2.06417386493367e-12	DOWN	-3.46404004253169	0.000285107704747301	DOWN	-2.07407874218432	0.0396565413702558	DOWN	-2.71532539784312
MARVELD3	-4.52600118268497	7.09514187099653e-09	DOWN	-1.98544423059434	0.00781809828285182	DOWN	-0.906838426752969	0.271504002578193	NOT	-2.71232432917903
CYP27B1	-4.12224897580515	1.35677873503797e-06	DOWN	-1.98804943695176	0.00721233744144109	DOWN	-0.734360124484971	0.369881794747434	NOT	-2.6535287268352
ENTPD2	-4.61674654157627	1.90545597662801e-05	DOWN	-2.26813745122139	0.00275897769821194	DOWN	-0.982780702347768	0.198596662284845	NOT	-2.65118513688073
UPP1	-3.0912085843461	7.67690673038291e-08	DOWN	-1.24436924022247	0.0427988178973607	DOWN	-0.236114010032062	0.763498446016738	NOT	-2.61898056428198
RNF223	-6.88976137486124	7.99940243334573e-08	DOWN	-4.29193676979296	6.18962132904709e-05	DOWN	-2.13582334960519	0.0522788246684939	NOT	-2.61811467565087
CAMSAP3	-7.54881708780261	2.81043505139621e-11	DOWN	-3.74896519546746	0.000415123581248332	DOWN	-2.46622895855423	0.0261498605622456	DOWN	-2.61635917069415
EFNB1	-3.44919235052616	7.6570479820009e-08	DOWN	-1.8613135771698	0.00508442223629724	DOWN	-0.421168165393339	0.604626218386904	NOT	-2.60685601973949
SYTL1	-4.60858737828221	1.31774360913546e-07	DOWN	-2.19889274818022	0.00526625398261073	DOWN	-1.00896779125561	0.239918358183942	NOT	-2.590651795771
DNAJB1	-2.74171033884735	4.05753619326496e-06	DOWN	-1.73187550181099	0.00519600179676783	DOWN	-0.0949651070239072	0.921295598664152	NOT	-2.55178012479954
RAC3	-3.69598917903597	1.36797002005597e-07	DOWN	-1.46334432288553	0.00546307693198193	DOWN	-0.583450539560435	0.301659543845459	NOT	-2.5290880999151
TMEM265	-2.9926370674832	1.95396748480012e-06	DOWN	-1.97663904541546	0.00135239107890981	DOWN	-0.234973950609702	0.770240244941451	NOT	-2.5226891662638
CCDC88C	-6.93132637923261	3.93618552645628e-09	DOWN	-3.41149689458496	5.19905019799075e-06	DOWN	-2.20724570583325	0.00273794088650239	DOWN	-2.5168349675661
TBRG4	-3.49346144451948	5.63050567297886e-08	DOWN	-1.64885856302738	0.0152874633933832	DOWN	-0.496957793601958	0.539679445395692	NOT	-2.49954585731556
SOX9	-3.1917413821869	5.87603595650123e-06	DOWN	-1.7603517109797	0.0160185276314003	DOWN	-0.349969748158669	0.702202464834528	NOT	-2.49180188586956
SLC3A2	-4.13561621332382	7.69373862131119e-13	DOWN	-1.71960216656035	0.0047897877115402	DOWN	-0.825730334397299	0.220434122106329	NOT	-2.48415554452923
TERC	-4.18523815732872	2.78623331080033e-11	DOWN	-2.43013938970427	0.000127906364032995	DOWN	-0.854755979241822	0.233736096075099	NOT	-2.47572619884508
KLK7	-8.81682130180268	1.10072962744694e-14	DOWN	-4.59534593320032	2.68704302165233e-08	DOWN	-3.17261158058143	0.000139111781773963	DOWN	-2.47159814063982
KLK11	-7.66682193686056	1.48178180483696e-10	DOWN	-5.76489180776483	8.10951561471974e-11	DOWN	-2.60549904618614	0.000776420895971488	DOWN	-2.45582384448828
IL36RN	-5.00437025023488	1.08875588563645e-05	DOWN	-2.42595864321234	0.006480447096965	DOWN	-1.27491508332286	0.166663286800927	NOT	-2.45454008358916
FAM83H	-5.49483686753262	5.74502997359535e-11	DOWN	-2.36824855836168	0.00733056157946592	DOWN	-1.52639796072488	0.103576150666588	NOT	-2.44204094608286
PNP	-3.35197440202874	3.69761938819932e-08	DOWN	-2.01903859428908	0.00119873436353867	DOWN	-0.455408973272946	0.549181897141296	NOT	-2.44115645548284
SLC37A2	-3.44275844266208	4.4606046462638e-08	DOWN	-1.34916229360987	0.0286419237654697	DOWN	-0.50339167176869	0.475206926152323	NOT	-2.4359750991247
EFNA3	-2.7439902389778	0.00103038250321993	DOWN	-1.76210057956258	0.0312395034860657	DOWN	-0.1580348972861	0.888966374518426	NOT	-2.4279204444056
HPGD	-5.60163422407418	1.28861334146897e-06	DOWN	-4.59419166654033	6.54795669645141e-06	DOWN	-1.60475467507085	0.103819208159572	NOT	-2.39212487393249
BSPRY	-6.15753965566333	8.58317618560107e-08	DOWN	-3.4675024697134	0.000306780950110542	DOWN	-1.8914603285283	0.0570188130009421	NOT	-2.37461899860673
YOD1	-3.4343993979011	3.47288208553924e-08	DOWN	-1.68582615809931	0.0101262268036955	DOWN	-0.5391659474766	0.484203467832103	NOT	-2.3560675029479
RASSF7	-4.2413877852315	2.20442828325728e-07	DOWN	-2.61958498643042	0.000989680998098163	DOWN	-0.943301772992182	0.290662170387823	NOT	-2.35478423924713
TMEM141	-2.9197698384479	1.53585288472438e-07	DOWN	-1.5117958041325	0.00722047519433881	DOWN	-0.283487266460581	0.686758947089048	NOT	-2.35279530552673
PRRG2	-4.89987776899733	3.35164732617526e-06	DOWN	-2.83109610096547	0.00122948292586718	DOWN	-1.28006097132101	0.159964985591838	NOT	-2.3397558263553
SLC25A5	-2.76617098487116	2.03635751386749e-08	DOWN	-1.52460213403721	0.0030536259195732	DOWN	-0.215858573750555	0.748938276601553	NOT	-2.33445383737005
