case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
ABCB1	0	3.79542658037553	22.5736967702052	3.55571134140957	0	1.88049870900796	0	0	0	1.14432766260675	1.61648443355724	2.06254188230226
ABCB10	106.275648593568	132.839930313143	122.901237971117	170.674144387659	146.608710162408	88.3834393233741	112.874566996128	137.52950365372	155.976143894825	58.3607107929442	46.6759880189652	71.7764575041186
ABCB11	0	0	0	0	0	0	0	1.49488590927956	0	0.38144255420225	0.808242216778619	0
ABCB4	107.885885693471	32.261125933192	50.163770600456	67.5585154867818	10.4720507258863	30.0879793441273	6.71872422596002	10.464201364957	5.70644428883505	14.3040957825844	11.3153910349007	10.1064552232811
ABCB5	9.66142259941531	9.48856645093882	2.5081885300228	21.3342680484574	0	1.88049870900796	0	0	0	71.5204789129218	170.741168294483	140.665356373014
ABCB6	95.0039888942506	68.3176784467595	65.2129017805928	78.2256495110105	109.956532621806	92.14443674139	83.3121804019043	92.682926375333	110.324589584144	184.618196233889	98.2014293386022	264.211615122919
ABCB7	130.429205092107	94.8856645093882	105.343918260958	115.560618595811	178.024862340067	165.4838863927	255.311520586481	174.901651385709	239.670660131072	91.736934285641	111.13330480706	114.058566091315
ABCB8	96.6142259941531	87.2948113486371	87.786598550798	67.5585154867818	72.2571500086152	45.131969016191	94.0621391634403	70.2596377361395	28.5322214441752	287.989128422698	281.066230884765	331.037972109512
ABCB9	28.9842677982459	26.5679860626287	30.0982623602736	21.3342680484574	28.2745369598929	13.1634909630557	59.1247731884482	37.3721477319891	24.7279252516185	54.927727805124	56.3748946203087	56.9261559515423
ABCC1	991.906053539972	1322.70616326087	1256.60245354142	915.595670412963	855.566544304908	966.576336430091	518.685510244114	1037.45082104002	684.773314660206	338.148824300294	386.743900728569	563.073933868516
